ANKEN_ID	ACCNT_ID	ANKEN_NAME	DESCRIPTION	WORK_PLACE	TERM	AGE	BILLING_RATE	MIN_RATE_NUM	MAX_RATE_NUM	RECRUIT_NUM	STATUS	VERSION	IS_DELETED	CREATED_BY	CREATED_AT	UPDATED_BY	UPDATED_AT
1000001	1000201	金融基幹システム刷新PJT	銀行業界における金融基幹システム刷新PJTの案件です。詳細設計/製造を担当いただきます。	東京都千代田区	12ヶ月	不問	70万〜90万	70	90	3	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1000101	1000201	ECサイトフロントエンド開発	小売業界におけるECサイトフロントエンド開発の案件です。製造/結合を担当いただきます。	東京都渋谷区	6ヶ月	40代まで	60万〜80万	60	80	2	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1000201	1000201	損保基幹バッチ改修	損保業界における損保基幹バッチ改修の案件です。単体/結合を担当いただきます。	大阪府大阪市	3ヶ月	不問	65万〜75万	65	75	1	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1000301	1000201	証券システムPMO	証券業界における証券システムPMOの案件です。要件定義/基本設計を担当いただきます。	東京都中央区	12ヶ月	不問	80万〜100万	80	100	1	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1000401	1000201	生保コールセンター基盤構築	生保業界における生保コールセンター基盤構築の案件です。基本設計/詳細設計を担当いただきます。	神奈川県横浜市	9ヶ月	50代まで	70万〜85万	70	85	2	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1000501	1000201	自動車部品在庫管理システム	自動車業界における自動車部品在庫管理システムの案件です。製造/単体を担当いただきます。	愛知県名古屋市	6ヶ月	不問	55万〜70万	55	70	3	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1000601	1000201	製造業IoT基盤運用監視	製造業業界における製造業IoT基盤運用監視の案件です。運用監視/障害対応を担当いただきます。	静岡県浜松市	12ヶ月	不問	60万〜75万	60	75	2	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1000701	1000201	医療クラウドカルテAPI開発	医療業界における医療クラウドカルテAPI開発の案件です。基本設計/製造を担当いただきます。	東京都文京区	6ヶ月	40代まで	70万〜90万	70	90	2	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1000801	1000201	通信キャリア顧客ポータル	通信・ネットワーク業界における通信キャリア顧客ポータルの案件です。製造/結合を担当いただきます。	東京都港区	9ヶ月	不問	65万〜85万	65	85	3	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1000901	1000201	印刷業向け生産管理システム再構築	印刷業界における印刷業向け生産管理システム再構築の案件です。要件定義/詳細設計を担当いただきます。	埼玉県さいたま市	8ヶ月	不問	55万〜65万	55	65	1	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1001001	1000201	外食チェーン店舗発注システム	外食業界における外食チェーン店舗発注システムの案件です。製造/単体を担当いただきます。	東京都新宿区	5ヶ月	不問	50万〜65万	50	65	2	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1001101	1000201	教育機関向けeラーニング基盤	教育業界における教育機関向けeラーニング基盤の案件です。基本設計/製造を担当いただきます。	京都府京都市	7ヶ月	不問	55万〜70万	55	70	2	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1001201	1000201	流通業向けAI需要予測基盤	流通業界における流通業向けAI需要予測基盤の案件です。調査分析/要件定義を担当いただきます。	東京都品川区	10ヶ月	不問	75万〜95万	75	95	2	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1001301	1000201	生産管理システムUAT支援	生産管理業界における生産管理システムUAT支援の案件です。UAT/総合を担当いただきます。	岐阜県岐阜市	3ヶ月	不問	55万〜65万	55	65	2	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1001401	1000201	銀行勘定系総合テスト要員	銀行業界における銀行勘定系総合テスト要員の案件です。総合/UATを担当いただきます。	東京都千代田区	4ヶ月	不問	60万〜70万	60	70	4	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1001501	1000201	小売業ネットワーク基盤更改	小売業界における小売業ネットワーク基盤更改の案件です。基本設計/製造を担当いただきます。	北海道札幌市	6ヶ月	不問	60万〜75万	60	75	2	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1001601	1000201	証券IT営業支援(提案書作成)	証券業界における証券IT営業支援(提案書作成)の案件です。調査分析を担当いただきます。	東京都中央区	常時	不問	50万〜60万	50	60	1	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1001701	1000201	自動車メーカー基盤マイグレーション	自動車業界における自動車メーカー基盤マイグレーションの案件です。詳細設計/製造/結合を担当いただきます。	広島県広島市	12ヶ月	不問	70万〜85万	70	85	3	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1001801	1000201	生保新契約システム保守	生保業界における生保新契約システム保守の案件です。運用監視/障害対応を担当いただきます。	東京都豊島区	常時	不問	55万〜65万	55	65	2	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
1001901	1000201	医療機関向けIT営業職	医療業界における医療機関向けIT営業職の案件です。各種業務を担当いただきます。	福岡県福岡市	常時	不問	45万〜60万	45	60	2	1	1	0	data_loader	2026-08-19 00:00:00	data_loader	2026-08-19 00:00:00
